code	qbr	ihf	shadow	COD	DIN	P-PO4	ph	cond	mean_light	Artificial(500m)	Agriculture(500m)	Pasture(500m)	Natural(500m)	LUI_500m	mean Depth	mean Velocity	Width	Discharge	N-NH4	N-NO2	N-NO3	Tmean	Tmax	Tmin	TCV	DOmean	Domax	DOmin	DOCV	Artificial(100m)	Agriculture(100m)	Pasture(100m)	Natural(100m)	LUI_100m	Artificial_subasin	Agriculture_subasin	Pasture_subasin	Natural_subasin	LUI_subasin	Altitude
COV1	10	32	15	2.5	3.357	0.115	6.46	159	69.94606298	0.5496	0.4504	0	0	4.1	54.8	0.026	4.5	0.065	0.14	0.017	3.2	20.6	23	18.8	0.06	7.1	8.3	6	0.11	0.51	0.49	0	0	4.02	0.21	0.39	0	0.4	2.22	37.24
ERM1	85	57	5	2.5	0.226	0.1	6.41	28	67.63977704	0	0	0	1	0	42	0.049	6.1	0.126	0.02	0.006	0.2	22.7	24.6	21.4	0.05	7.5	7.9	7.2	0.03	0	0	0	1	0	0	0.02	0	0.93	0.09	393.32999
EST1	45	46	20	7.08	2.821	0.42	6.87	227	31.50415908	0.3044	0.186	0	0.5096	2.08	28.8	0.323	4	0.368	0.1	0.021	2.7	23	26.3	20.6	0.09	6.2	8.6	4.9	0.2	0.02	0.26	0	0.72	0.88	0.36	0.22	0	0.41	2.48	149.10001
EST2	35	48	65	2.5	1.789	0.16	6.8	130	21.26462229	0.384	0.3708	0	0.2452	3.03	4.8	0.054	1.3	0.003	0.08	0.009	1.7	18.6	19.6	17.6	0.04	6.8	7.3	6.3	0.04	0.81	0.19	0	0	4.62	0.36	0.22	0	0.41	2.48	218.78
FER1	50	59	70	2.5	0.877	0.16	6.75	78	0.784496087	0.0204	0.1348	0	0.8448	0.51	63.8	0.1	5	0.319	0.07	0.007	0.8	16.5	17.9	15.5	0.05	8.9	9.2	8.6	0.02	0	0.47	0	0.53	1.41	0.12	0.21	0	0.66	1.25	450.95999
FERRO1	50	56	70	2.5	1.247	0.14	6.71	120	64.75220852	0.2536	0.5148	0	0.2316	2.81	9.8	0.216	5	0.106	0.04	0.007	1.2	19.5	21	18.7	0.03	8.2	8.5	7.4	0.03	0	0.93	0	0.07	2.79	0.12	0.21	0	0.66	1.25	229.71001
FOR1	95	63	70	2.5	0.027	0.1	6	175	35.56853678	0	0	0	1	0	9.8	0.048	1.8	0.008	0	0.007	0.02	15.9	17.6	15.2	0.03	9	9.2	8.8	0.01	0	0	0	1	0	0	0	0	0.51	0	685.85999
GER1	80	64	55	2.5	0.127	0.06	6.13	29	11.09976161	0	0	0	0.8416	0	3.6	0.015	1.6	0.001	0.1	0.007	0.02	17.1	19.1	15.8	0.06	7.1	7.5	6.6	0.03	0	0	0	1	0	0.03	0.01	0	0.8	0.21	848.33002
HOM1	95	51	0	2.5	0.117	0.07	6.57	35	144.7542239	0	0	0	0.6844	0	32.4	0.083	7.6	0.204	0.1	0.007	0.01	22.5	24.7	21.1	0.05	7.8	8.1	7.5	0.02	0	0	0	0.73	0	0	0	0	0.51	0	820
LAB1	10	65	50	7.5	2.836	2.7	6.84	196	0.502031102	0.3244	0.4396	0	0.236	2.94	34.8	0.083	3.5	0.101	0.03	0.006	2.8	20.7	22.7	19.2	0.05	7.6	8.6	6	0.06	0.68	0.3	0	0.02	4.3	0.25	0.3	0	0.44	2.18	69.59
LAM1	40	50	90	2.5	1.326	0.16	6.24	100	1.045053324	0.2184	0.6964	0	0.0852	3.18	29.2	0.026	2	0.015	0.02	0.006	1.3	19	21.2	17.5	0.05	8.5	9	7.9	0.03	0.12	0.88	0	0	3.24	0.07	0.41	0.01	0.51	1.59	55
MACE1	95	61	60	2.5	0.048	0.05	7.08	56	14.51191955	0	0	0	1	0	33	0.046	2	0.03	0	0.008	0.04	21.6	23.9	19.4	0.07	5.7	9	2.9	0.32	0	0	0	1	0	0	0	0	0.51	0	680
MACI1	0	28	0	6.2	4.685	0.29	6.26	257	17.50303466	0.0616	0.7804	0	0.158	2.65	6.8	0.112	1.5	0.066	0.06	0.025	4.6	17.3	18.9	16.4	0.04	8.3	8.5	8.1	0.02	0	1	0	0	3	0.12	0.54	0	0.33	2.25	58.56
MOU1	45	53	70	2.5	2.116	0.08	7.57	122	4.846598743	0	0.7504	0	0.2496	2.25	8.8	0.063	4	0.022	0.01	0.006	2.1	20.3	22.1	18.6	0.06	7.3	7.8	6.8	0.04	0	1	0	0	3	0.13	0.23	0	0.64	1.33	57.96
NES1	0	45	10	11.53	2.315	2.82	6.47	366	12.72240008	0.5252	0.3576	0	0.1172	3.7	10.2	0.189	2.1	0.04	0.39	0.025	1.9	22.2	25	19.6	0.08	8	9.1	7	0.09	0.57	0.43	0	0	4.14	0.28	0.24	0	0.47	2.14	157.97
OLI1	70	65	100	2.5	0.307	0.07	6.99	43	1.873759597	0.102	0.4484	0	0.4496	1.86	29	0.139	5.4	0.218	0	0.007	0.3	18.6	21.8	16.9	0.09	8.7	9	8.3	0.02	0.01	0.59	0	0.4	1.82	0.08	0.19	0.05	0.67	1.03	229.75
PON1	20	65	10	2.5	1.808	0.23	6.13	293	22.42789259	0.5756	0.3844	0	0.0264	4.03	14.2	0.117	1.7	0.028	0	0.008	1.8	22.3	24.9	19.5	0.08	7.3	8.3	6.3	0.09	0.54	0.46	0	0	4.08	0.24	0.26	0	0.48	2	110
RAB1	70	45	80	2.5	0.247	0.1	6.35	41	8.364540208	0	0.4416	0.1452	0.4132	1.47	3.2	0.069	1.1	0.002	0.04	0.007	0.2	15	16.1	14	0.05	7.5	7.8	7.2	0.02	0	0.73	0	0.27	2.19	0.02	0.2	0.07	0.38	0.76	870
RAB2	75	45	40	6.93	0.227	0.08	6.65	138	2.578374117	0	0.3968	0.1284	0.4748	1.32	13	0.153	11	0.219	0.02	0.007	0.2	18.7	19.5	17.8	0.03	7.5	8.1	7	0.06	0	0.24	0.33	0.43	1.05	0.02	0.21	0.07	0.68	0.8	699.96997
ROD1	35	67	30	2.5	2.216	0.25	6.61	600	6.282779567	0	0.584	0	0.3268	1.75	6	0.12	1.5	0.011	0.01	0.006	2.2	19.7	20.9	18.2	0.05	7.5	9.1	6.6	0.09	0	1	0	0	3	0.14	0.34	0	0.52	1.71	6.1
rPON1	15	41	40	6.63	2.693	1.72	5.9	163	4.009852569	0.2208	0.6972	0	0.082	3.2	21.6	0.085	4.3	0.079	0.15	0.043	2.5	21.1	22.2	19.9	0.04	5.6	6.7	4.8	0.1	0	1	0	0	3	0.25	0.36	0	0.39	2.32	19.1
SAL1	50	55	10	2.5	0.217	0.06	6.4	36	32.18665323	0.0304	0.0984	0	0.8712	0.45	15.2	0.042	2.4	0.015	0.01	0.007	0.2	17.3	20.3	15.2	0.1	8.5	9.3	7.9	0.06	0	0.14	0	0.86	0.42	0.01	0.09	0.02	0.8	0.36	759.38
SAN1	15	50	15	7.82	2.194	0.34	6.79	151	11.09582942	0.5696	0.406	0	0.0244	4.07	23.2	0.081	3.5	0.065	0.74	0.054	1.4	21.7	23.7	20	0.06	3.3	6.3	1.6	0.37	0.43	0.57	0	0	3.86	0.29	0.25	0	0.47	2.18	69.07
SEL1	10	30	0	30.19	2.684	0.27	6.75	155	12.01854401	0.2404	0.5096	0	0.25	2.73	15.8	0.228	3.7	0.133	0.16	0.024	2.5	23.4	28	20.7	0.1	6.1	7.5	4.5	0.16	0.36	0.21	0	0.43	2.43	0.3	0.3	0	0.4	2.39	148.75999
SOU1	5	43	50	2.5	2.608	0.66	6.02	143	11.09582942	0.0048	0.8772	0	0.118	2.66	2.2	0.063	1	0.001	0	0.008	2.6	19.1	22.8	17.4	0.08	7.2	7.8	6.9	0.03	0	1	0	0	3	0.24	0.26	0	0.48	2	128.22
TAve1	85	65	80	2.5	0.218	0.11	7.05	37	5.408862798	0	0.1176	0	0.7544	0.35	5.6	0.064	1.9	0.007	0.01	0.008	0.2	14.7	15.8	13.3	0.05	8.8	9.1	8.5	0.02	0	0	0	1	0	0.02	0.08	0	0.82	0.33	636.88
TAve2	10	39	95	2.5	1.189	0.63	6.33	279	1.723815126	0.662	0.1516	0.028	0.062	3.79	15.6	0.095	1.3	0.019	0.13	0.059	1	24.1	26.7	22.2	0.06	4.1	5.3	3.2	0.12	1	0	0	0	5	0.24	0.26	0	0.48	2	112.72
TOJ1	50	62	70	2.5	1.207	0.145	6.83	344	12.65310743	0.0612	0.9388	0	0	3.12	24.6	0.192	3.4	0.159	0	0.007	1.2	18	19.5	16.6	0.06	8.4	8.8	8.1	0.02	0	1	0	0	3	0.14	0.36	0	0.5	1.78	64
VEI1	50	60	60	8.15	3.546	0.29	6.46	207	1.107864908	0.3044	0.186	0	0.5096	2.08	18.4	0.238	3.9	0.171	0.74	0.006	2.8	23.1	26.2	20.4	0.08	5.9	8.6	4.7	0.18	0.02	0.26	0	0.72	0.88	0.36	0.22	0	0.41	2.48	145.53
VEZ1	95	55	60	2.5	0.316	0.08	6.43	27	16.73249549	0.0124	0.2744	0	0.6028	0.89	30.4	0.129	5.6	0.217	0.01	0.006	0.3	19.8	21.1	18.3	0.05	8.7	9	8.5	0.02	0	0	0	0.66	0	0.01	0.09	0.01	0.85	0.34	318.19
VEZ2	80	56	25	2.5	0.417	0.06	6.62	46	28.20628917	0.134	0.6156	0.0768	0.0912	2.59	24.8	0.167	28.3	1.176	0.01	0.007	0.4	21.9	23.3	20.8	0.04	8.3	8.8	7.9	0.03	0	0.49	0	0	1.47	0.13	0.27	0.01	0.58	1.47	56.08
VEZ3	75	72	15	5.27	0.719	0.1	6.28	64	28.20628917	0.0312	0.5544	0	0.346	1.82	56.5	0.088	35	1.731	0.21	0.009	0.5	25.7	26.8	24.6	0.03	7.2	8.4	6.3	0.09	0	0.62	0	0	1.86	0.13	0.27	0.01	0.58	1.47	28.93
VIL1	30	64	40	2.5	0.329	0.08	6.24	34	15.42755653	0.3876	0.5252	0	0.0872	3.51	7.4	0.078	1.5	0.008	0.02	0.009	0.3	16.5	19	14.7	0.08	8	9.6	6.9	0.11	0.48	0.52	0	0	3.96	0.07	0.18	0.02	0.68	0.92	533.33002
VilC1	60	64	80	5.29	0.218	0.18	5.7	36	11.71997425	0.0024	0.0624	0	0.9352	0.2	13.5	0.066	2.3	0.02	0.01	0.008	0.2	18.2	19.7	16.6	0.05	8.4	8.8	8.1	0.02	0	0	0	1	0	0.04	0.14	0	0.71	0.61	528.15002
VIZ1	40	47	60	2.5	1.082	0.13	6.57	98	4.959118171	0.3424	0.596	0	0.0616	3.5	41.4	0.068	8	0.224	0.02	0.062	1	20.2	21	19.7	0.02	7.6	8	7.2	0.04	0	0.56	0	0.44	1.68	0.27	0.28	0	0.45	2.21	239.67999
